time,src_ip,user,url,action,status,bytes,user_agent
2025-09-08T12:00:00,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:02,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:04,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:06,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:08,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:10,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:12,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:14,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:16,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:18,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:20,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:22,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:24,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:26,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:28,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:30,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:32,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:34,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:36,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:38,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:40,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:42,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:44,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:46,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:48,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:50,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:52,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:54,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:56,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:00:58,10.0.0.8,carol,https://app.internal/service,allow,500,800,Mozilla/5.0
2025-09-08T12:02:00,10.0.0.9,dave,https://app.internal/service,allow,200,800,Mozilla/5.0
2025-09-08T12:02:02,10.0.0.9,dave,https://app.internal/service,allow,200,800,Mozilla/5.0
2025-09-08T12:02:04,10.0.0.9,dave,https://app.internal/service,allow,200,800,Mozilla/5.0
2025-09-08T12:02:06,10.0.0.9,dave,https://app.internal/service,allow,200,800,Mozilla/5.0
2025-09-08T12:02:08,10.0.0.9,dave,https://app.internal/service,allow,200,800,Mozilla/5.0
