time,src_ip,user,url,action,status,bytes,user_agent
2025-09-08T12:00:00,10.0.0.6,bob,https://example.com/page,allow,200,1000,Mozilla/5.0
2025-09-08T12:01:00,10.0.0.6,bob,https://example.com/page,allow,200,1000,Mozilla/5.0
2025-09-08T12:02:00,10.0.0.6,bob,https://example.com/page,allow,200,1000,Mozilla/5.0
2025-09-08T12:03:00,10.0.0.6,bob,https://example.com/page,allow,200,1000,Mozilla/5.0
2025-09-08T12:04:00,10.0.0.6,bob,https://example.com/page,allow,200,1000,Mozilla/5.0
2025-09-08T12:05:00,10.0.0.6,bob,https://example.com/page,allow,200,1000,Mozilla/5.0
2025-09-08T12:06:00,10.0.0.6,bob,https://example.com/page,allow,200,1000,Mozilla/5.0
2025-09-08T12:07:00,10.0.0.6,bob,https://example.com/page,allow,200,1000,Mozilla/5.0
2025-09-08T12:08:00,10.0.0.6,bob,https://example.com/page,allow,200,1000,Mozilla/5.0
2025-09-08T12:09:00,10.0.0.6,bob,https://example.com/page,allow,200,1000,Mozilla/5.0
2025-09-08T12:11:00,10.0.0.7,eve,https://evil.com/x,block,403,200,StrangeBot/0.1
2025-09-08T12:12:00,10.0.0.7,eve,https://evil.com/y,block,403,200,StrangeBot/0.1
